,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km_Driven,Ownership,Fuel_Type,RTO_Office,Discounted_Car_Price,Baseline_Price,Car_Type,Age_of_Car,Km_Driven_Per_Year,Categorize_Car_Price
0,Volkswagen Polo,GT TSI ATAutomatic,Sonnappanahalli,HatchBack,2016,Volkswagen,96698,2ND OWNER,PETROL,KA-09,708000,738000,Automatic,7,13814,5 lakh-10 lakh
1,Maruti Swift,LXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Maruti,60352,2ND OWNER,PETROL,KA-41,429000,476000,Manual,8,7544,2.5 lakh-5 lakh
2,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2010,Maruti,134850,2ND OWNER,PETROL,KA-51,314000,340000,Manual,13,10373.07692,2.5 lakh-5 lakh
3,Hyundai Elite i20,SPORTZ PLUS 1.2Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Hyundai,49087,1ST OWNER,PETROL,KA-50,710000,776000,Manual,3,16362.33333,5 lakh-10 lakh
4,Maruti Celerio,VXI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,57986,2ND OWNER,PETROL,KA-06,406000,441000,Manual,6,9664.333333,2.5 lakh-5 lakh
5,Hyundai Elite i20,ASTA 1.4 CRDIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2015,Hyundai,123976,1ST OWNER,DIESEL,KA-41,573000,601000,Manual,8,15497,5 lakh-10 lakh
6,Volkswagen Polo,GT TDIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2013,Volkswagen,109232,2ND OWNER,DIESEL,KA-51,479000,491000,Manual,10,10923.2,2.5 lakh-5 lakh
7,Hyundai i10,SPORTZ 1.2 ATAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Hyundai,67048,3RD OWNER,PETROL,KA-05,344000,361000,Automatic,10,6704.8,2.5 lakh-5 lakh
8,Tata Tiago,XT PETROLManual,"Bellahalli, Bengaluru",HatchBack,2021,Tata,14992,1ST OWNER,PETROL,KA-09,632000,632000,Manual,2,7496,5 lakh-10 lakh
9,Hyundai i20,ASTA 1.2Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Hyundai,31502,1ST OWNER,PETROL,KA-05,493000,539000,Manual,10,3150.2,2.5 lakh-5 lakh
10,Maruti IGNIS,ZETA 1.2 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,65909,1ST OWNER,PETROL,KA-50,590000,646000,Automatic,6,10984.83333,5 lakh-10 lakh
11,Hyundai NEW SANTRO,SPORTZ AMTAutomatic,"GT World Mall, Bengaluru",HatchBack,2019,Hyundai,25997,2ND OWNER,PETROL,KA-05,557000,590000,Automatic,4,6499.25,5 lakh-10 lakh
12,Hyundai Eon,ERA +Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2012,Hyundai,63020,2ND OWNER,PETROL,KA-01,218000,218000,Manual,11,5729.090909,below 2.5 lakh
13,Maruti Alto,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Maruti,26085,2ND OWNER,PETROL,KA-04,411000,450000,Manual,3,8695,2.5 lakh-5 lakh
14,Hyundai i20,MAGNA (O) 1.4 CRDIManual,"Bellahalli, Bengaluru",HatchBack,2013,Hyundai,90106,2ND OWNER,DIESEL,KA-01,385000,423000,Manual,10,9010.6,2.5 lakh-5 lakh
15,Maruti New Wagon-R,ZXI 1.2Manual,Sonnappanahalli,HatchBack,2021,Maruti,27658,1ST OWNER,PETROL,KA-09,619000,661000,Manual,2,13829,5 lakh-10 lakh
16,Maruti Ritz,VXIManual,"GT World Mall, Bengaluru",HatchBack,2013,Maruti,54782,1ST OWNER,PETROL,KA-05,378000,430000,Manual,10,5478.2,2.5 lakh-5 lakh
17,Maruti S PRESSO,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Maruti,57644,2ND OWNER,PETROL,KA-20,387000,425000,Manual,3,19214.66667,2.5 lakh-5 lakh
18,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,67771,2ND OWNER,PETROL,KA-05,525000,572000,Automatic,7,9681.571429,5 lakh-10 lakh
19,Renault Kwid,CLIMBER 1.0 AMT (O)Automatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Renault,46218,2ND OWNER,PETROL,KA-50,498000,521000,Automatic,3,15406,2.5 lakh-5 lakh
20,Hyundai i20 Active,1.4 SXManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,51659,2ND OWNER,DIESEL,KA-01,665000,687000,Manual,8,6457.375,5 lakh-10 lakh
21,Maruti Wagon R 1.0,LXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2010,Maruti,80330,2ND OWNER,PETROL,UP-16,222000,248000,Manual,13,6179.230769,below 2.5 lakh
22,Maruti Alto K10,VXI (O) AMTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Maruti,14039,1ST OWNER,PETROL,KA-01,436000,436000,Automatic,7,2005.571429,2.5 lakh-5 lakh
23,Hyundai Elite i20,ASTA 1.4 CRDI (O)Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Hyundai,60228,1ST OWNER,DIESEL,KA-03,724000,773000,Manual,6,10038,5 lakh-10 lakh
24,Maruti Celerio,VXI (O)Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Maruti,71295,1ST OWNER,PETROL,KA-03,436600,456000,Manual,7,10185,2.5 lakh-5 lakh
25,Maruti S PRESSO,VXI (O) AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2020,Maruti,28297,1ST OWNER,PETROL,KA-03,482000,541000,Automatic,3,9432.333333,2.5 lakh-5 lakh
26,Hyundai i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,77526,1ST OWNER,PETROL,KA-04,502000,535000,Manual,9,8614,5 lakh-10 lakh
27,Maruti Baleno,ZETA PETROL 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Maruti,56997,1ST OWNER,PETROL,KA-03,691000,712000,Manual,6,9499.5,5 lakh-10 lakh
28,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,82149,2ND OWNER,PETROL,KA-05,393000,422000,Manual,9,9127.666667,2.5 lakh-5 lakh
29,Tata Tiago,XZ PETROLManual,"Bellahalli, Bengaluru",HatchBack,2018,Tata,49325,1ST OWNER,PETROL,KA-04,521000,572000,Manual,5,9865,5 lakh-10 lakh
30,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,51618,1ST OWNER,PETROL,KA-53,460000,534000,Manual,8,6452.25,2.5 lakh-5 lakh
31,Maruti S PRESSO,VXI+Manual,"Bellahalli, Bengaluru",HatchBack,2022,Maruti,8212,1ST OWNER,PETROL,KA-19,560000,610000,Manual,1,8212,5 lakh-10 lakh
32,Maruti Alto K10,VXIManual,"GT World Mall, Bengaluru",HatchBack,2011,Maruti,58883,3RD OWNER,PETROL,KA-05,221000,232000,Manual,12,4906.916667,below 2.5 lakh
33,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2019,Hyundai,55168,1ST OWNER,PETROL,KA-14,572000,632000,Manual,4,13792,5 lakh-10 lakh
34,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,58556,1ST OWNER,PETROL,KA-05,484000,503000,Manual,11,5323.272727,2.5 lakh-5 lakh
35,Tata Tiago,XZ PETROLManual,Sonnappanahalli,HatchBack,2018,Tata,36692,2ND OWNER,PETROL,KA-41,486000,526000,Manual,5,7338.4,2.5 lakh-5 lakh
36,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2016,Hyundai,49408,1ST OWNER,PETROL,KA-51,482000,524000,Manual,7,7058.285714,2.5 lakh-5 lakh
37,Renault Kwid,RXT 0.8 (O)Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Renault,53574,2ND OWNER,PETROL,KA-16,318000,342000,Manual,7,7653.428571,2.5 lakh-5 lakh
38,Hyundai i10,MAGNA 1.1Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Hyundai,28023,1ST OWNER,PETROL,KA-05,400000,481000,Manual,7,4003.285714,2.5 lakh-5 lakh
39,Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Hyundai,28012,1ST OWNER,PETROL,KA-51,638000,678000,Automatic,5,5602.4,5 lakh-10 lakh
40,Tata Tiago,XT PETROLManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Tata,69734,1ST OWNER,PETROL,KA-19,435000,492000,Manual,6,11622.33333,2.5 lakh-5 lakh
41,Datsun Redi Go,T(O) 1.0Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Datsun,46031,1ST OWNER,PETROL,KA-05,278000,335000,Manual,6,7671.833333,2.5 lakh-5 lakh
42,Maruti Alto K10,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Maruti,89919,1ST OWNER,PETROL,KA-04,296000,346000,Manual,5,17983.8,2.5 lakh-5 lakh
43,Maruti Wagon R 1.0,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Maruti,92739,2ND OWNER,PETROL,KA-05,302000,341000,Manual,9,10304.33333,2.5 lakh-5 lakh
44,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,29236,1ST OWNER,PETROL,KA-03,500000,544000,Manual,7,4176.571429,5 lakh-10 lakh
45,Hyundai Elite i20,ASTA 1.2 (O)Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2019,Hyundai,30984,1ST OWNER,PETROL,KA-05,762000,823000,Manual,4,7746,5 lakh-10 lakh
46,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,45463,1ST OWNER,PETROL,KA-05,555000,592000,Automatic,8,5682.875,5 lakh-10 lakh
47,Hyundai Elite i20,ASTA 1.4 CRDIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2018,Hyundai,72131,1ST OWNER,DIESEL,KA-04,705000,794000,Manual,5,14426.2,5 lakh-10 lakh
48,Maruti Ritz,VDIManual,"Bellahalli, Bengaluru",HatchBack,2011,Maruti,124712,1ST OWNER,DIESEL,KA-53,343400,398000,Manual,12,10392.66667,2.5 lakh-5 lakh
49,Renault Kwid,CLIMBER 1.0Manual,Sonnappanahalli,HatchBack,2018,Renault,37418,2ND OWNER,PETROL,KA-53,380000,402000,Manual,5,7483.6,2.5 lakh-5 lakh
50,Hyundai Elite i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,41003,1ST OWNER,PETROL,KA-02,641000,762000,Manual,6,6833.833333,5 lakh-10 lakh
51,Hyundai Elite i20,SPORTZ 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,63072,3RD OWNER,PETROL,KA-51,579000,634000,Manual,6,10512,5 lakh-10 lakh
52,Maruti New Wagon-R,VXI 1.0Manual,"Bellahalli, Bengaluru",HatchBack,2019,Maruti,28454,2ND OWNER,PETROL,KA-65,501000,545000,Manual,4,7113.5,5 lakh-10 lakh
53,Maruti Alto,VXIManual,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,22112,1ST OWNER,PETROL,KA-07,393000,459000,Manual,2,11056,2.5 lakh-5 lakh
54,Honda Brio,VX MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Honda,76911,2ND OWNER,PETROL,KA-02,345000,410000,Manual,8,9613.875,2.5 lakh-5 lakh
55,Hyundai i20,SPORTZ 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,39078,1ST OWNER,PETROL,KA-53,488000,550000,Manual,9,4342,2.5 lakh-5 lakh
56,Renault Kiger,RXZ 1.0 MTManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2021,Renault,12233,1ST OWNER,PETROL,KA-04,770000,903000,Manual,2,6116.5,5 lakh-10 lakh
57,Honda Brio,S MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Honda,29457,2ND OWNER,PETROL,KA-53,433000,495000,Manual,7,4208.142857,2.5 lakh-5 lakh
58,Tata Tiago,XZ PETROLManual,"Bellahalli, Bengaluru",HatchBack,2018,Tata,38272,2ND OWNER,PETROL,KA-51,473000,529000,Manual,5,7654.4,2.5 lakh-5 lakh
59,Hyundai Elite i20,ASTA 1.2 (O)Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Hyundai,84407,2ND OWNER,PETROL,KA-05,603000,670000,Manual,7,12058.14286,5 lakh-10 lakh
60,Hyundai NEW I20,MAGNA 1.2 MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2021,Hyundai,17929,1ST OWNER,PETROL,KA-05,711000,752000,Manual,2,8964.5,5 lakh-10 lakh
61,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"GT World Mall, Bengaluru",HatchBack,2015,Hyundai,33499,3RD OWNER,PETROL,KA-04,411000,455000,Manual,8,4187.375,2.5 lakh-5 lakh
62,Hyundai i10,SPORTZ 1.1Manual,"GT World Mall, Bengaluru",HatchBack,2016,Hyundai,98602,2ND OWNER,PETROL,KA-64,349000,376000,Manual,7,14086,2.5 lakh-5 lakh
63,Datsun Redi Go,SManual,"Horamavu Agara Road, Bengaluru",HatchBack,2018,Datsun,30685,2ND OWNER,PETROL,KA-51,303000,336000,Manual,5,6137,2.5 lakh-5 lakh
64,Hyundai Elite i20,ASTA 1.2Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2018,Hyundai,36043,2ND OWNER,PETROL,KA-53,671000,762000,Manual,5,7208.6,5 lakh-10 lakh
65,Hyundai Elite i20,SPORTZ PLUS 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2019,Hyundai,65944,2ND OWNER,PETROL,KA-20,625000,671000,Manual,4,16486,5 lakh-10 lakh
66,Maruti Swift,VDIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,100015,1ST OWNER,DIESEL,KA-25,497000,521000,Manual,9,11112.77778,2.5 lakh-5 lakh
67,Hyundai i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2013,Hyundai,21644,2ND OWNER,PETROL,KA-05,462000,493000,Manual,10,2164.4,2.5 lakh-5 lakh
68,Hyundai Elite i20,ASTA (O) CVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Hyundai,30407,1ST OWNER,PETROL,KA-05,789000,852000,Automatic,4,7601.75,5 lakh-10 lakh
69,Hyundai Elite i20,ASTA 1.2Manual,"GT World Mall, Bengaluru",HatchBack,2017,Hyundai,29591,1ST OWNER,PETROL,KA-41,674000,759000,Manual,6,4931.833333,5 lakh-10 lakh
70,Maruti Baleno,DELTA CVT PETROL 1.2Automatic,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,63328,1ST OWNER,PETROL,KA-01,568000,664000,Automatic,7,9046.857143,5 lakh-10 lakh
71,Maruti Wagon R 1.0,VXI OPTManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2016,Maruti,80190,1ST OWNER,PETROL,KA-53,406000,465000,Manual,7,11455.71429,2.5 lakh-5 lakh
72,Renault Kwid,1.0 CLIMBER OPTManual,"Bellahalli, Bengaluru",HatchBack,2021,Renault,41968,1ST OWNER,PETROL,KA-50,474000,530000,Manual,2,20984,2.5 lakh-5 lakh
73,Maruti Celerio,ZXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,30848,2ND OWNER,PETROL,KA-01,486000,541000,Automatic,6,5141.333333,2.5 lakh-5 lakh
74,Hyundai i20 Active,1.2 SManual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,68672,2ND OWNER,PETROL,KA-53,577000,654000,Manual,7,9810.285714,5 lakh-10 lakh
75,Honda Jazz,1.2 BASE I VTECManual,"Bellahalli, Bengaluru",HatchBack,2010,Honda,90448,2ND OWNER,PETROL,KA-51,313000,357000,Manual,13,6957.538462,2.5 lakh-5 lakh
76,Honda Brio,VX ATAutomatic,"GT World Mall, Bengaluru",HatchBack,2017,Honda,39220,1ST OWNER,PETROL,KA-03,537000,620000,Automatic,6,6536.666667,5 lakh-10 lakh
77,Hyundai Eon,MAGNA +Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,30906,3RD OWNER,PETROL,KA-53,310000,339000,Manual,7,4415.142857,2.5 lakh-5 lakh
78,Hyundai Eon,MAGNA + AIRBAGManual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,8187,2ND OWNER,PETROL,KA-41,352000,370000,Manual,7,1169.571429,2.5 lakh-5 lakh
79,Maruti Wagon R 1.0,VXIManual,Sonnappanahalli,HatchBack,2017,Maruti,15993,1ST OWNER,PETROL,KA-04,443000,463000,Manual,6,2665.5,2.5 lakh-5 lakh
80,Hyundai Eon,ERA +Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,79683,1ST OWNER,PETROL,KA-19,308000,333000,Manual,6,13280.5,2.5 lakh-5 lakh
81,Hyundai i10,SPORTZ 1.1Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2015,Hyundai,80427,2ND OWNER,PETROL,KA-05,338000,365000,Manual,8,10053.375,2.5 lakh-5 lakh
82,Renault Kwid,RXT 0.8Manual,"GT World Mall, Bengaluru",HatchBack,2017,Renault,16808,1ST OWNER,PETROL,KA-51,386000,386000,Manual,6,2801.333333,2.5 lakh-5 lakh
83,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,14524,1ST OWNER,PETROL,KA-53,424000,461000,Manual,6,2420.666667,2.5 lakh-5 lakh
84,Renault Kwid,RXLManual,Sonnappanahalli,HatchBack,2021,Renault,12041,1ST OWNER,PETROL,KA-05,449000,470000,Manual,2,6020.5,2.5 lakh-5 lakh
85,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,41120,1ST OWNER,PETROL,UP-16,420000,473000,Manual,9,4568.888889,2.5 lakh-5 lakh
86,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,26923,1ST OWNER,PETROL,KA-03,500000,571000,Manual,7,3846.142857,5 lakh-10 lakh
87,Hyundai GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2021,Hyundai,7266,1ST OWNER,PETROL,KA-16,639000,664000,Manual,2,3633,5 lakh-10 lakh
88,Hyundai i10,SPORTZ 1.1Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,31355,3RD OWNER,PETROL,KA-53,376000,412000,Manual,7,4479.285714,2.5 lakh-5 lakh
89,Hyundai Eon,MAGNA +Manual,Sonnappanahalli,HatchBack,2014,Hyundai,29940,1ST OWNER,PETROL,KA-03,304000,334000,Manual,9,3326.666667,2.5 lakh-5 lakh
90,Hyundai Elite i20,ASTA 1.2 CVTAutomatic,"GT World Mall, Bengaluru",HatchBack,2018,Hyundai,70601,1ST OWNER,PETROL,KA-41,659200,770000,Automatic,5,14120.2,5 lakh-10 lakh
91,Hyundai Elite i20,ASTA 1.2Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,90213,2ND OWNER,PETROL,KA-05,562000,649000,Manual,7,12887.57143,5 lakh-10 lakh
92,Maruti Ritz,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2010,Maruti,73340,1ST OWNER,PETROL,KA-05,321000,347000,Manual,13,5641.538462,2.5 lakh-5 lakh
93,Nissan Micra,XV CVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Nissan,46468,3RD OWNER,PETROL,KA-01,438000,531000,Automatic,6,7744.666667,2.5 lakh-5 lakh
94,Hyundai Elite i20,SPORTZ 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Hyundai,97212,3RD OWNER,PETROL,KA-19,549000,631000,Manual,6,16202,5 lakh-10 lakh
95,Maruti Swift,ZXI PLUSManual,Sonnappanahalli,HatchBack,2021,Maruti,48148,1ST OWNER,PETROL,KA-02,782000,854000,Manual,2,24074,5 lakh-10 lakh
96,Hyundai i10,MAGNA 1.1Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,35851,1ST OWNER,PETROL,KA-42,391000,415000,Manual,7,5121.571429,2.5 lakh-5 lakh
97,Hyundai GRAND I10 NIOS,ASTA 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2020,Hyundai,15361,2ND OWNER,PETROL,KA-02,701000,757000,Manual,3,5120.333333,5 lakh-10 lakh
98,Hyundai i10,SPORTZ 1.2Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2010,Hyundai,75774,1ST OWNER,PETROL,KA-05,275000,288000,Manual,13,5828.769231,2.5 lakh-5 lakh
99,Hyundai Elite i20,ASTA 1.2Manual,"GT World Mall, Bengaluru",HatchBack,2017,Hyundai,51181,1ST OWNER,PETROL,KA-51,631000,729000,Manual,6,8530.166667,5 lakh-10 lakh
100,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,48394,1ST OWNER,PETROL,KA-55,381000,436000,Manual,8,6049.25,2.5 lakh-5 lakh
101,Maruti A Star,VXI (ABS) ATAutomatic,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,86380,2ND OWNER,PETROL,KA-03,299000,330000,Automatic,11,7852.727273,2.5 lakh-5 lakh
102,Hyundai i10,MAGNA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2012,Hyundai,105745,1ST OWNER,PETROL,KA-05,278000,301000,Manual,11,9613.181818,2.5 lakh-5 lakh
103,Hyundai Elite i20,SPORTZ 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,48285,1ST OWNER,PETROL,KA-51,658000,706000,Manual,6,8047.5,5 lakh-10 lakh
104,Maruti Swift,VXIManual,"GT World Mall, Bengaluru",HatchBack,2015,Maruti,69216,2ND OWNER,PETROL,KA-53,478000,535000,Manual,8,8652,2.5 lakh-5 lakh
105,Maruti Alto 800,LXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Maruti,24320,3RD OWNER,PETROL,KA-05,287000,309000,Manual,8,3040,2.5 lakh-5 lakh
106,Maruti Swift,VXIManual,"GT World Mall, Bengaluru",HatchBack,2014,Maruti,52568,1ST OWNER,PETROL,KA-03,486000,550000,Manual,9,5840.888889,2.5 lakh-5 lakh
107,Hyundai Elite i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,44843,1ST OWNER,PETROL,KA-05,646000,754000,Manual,6,7473.833333,5 lakh-10 lakh
108,Hyundai Elite i20,MAGNA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,75268,1ST OWNER,PETROL,KA-20,542000,609000,Manual,7,10752.57143,5 lakh-10 lakh
109,Renault Kwid,RXT 1.0Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Renault,10254,1ST OWNER,PETROL,KA-03,386000,411000,Manual,6,1709,2.5 lakh-5 lakh
110,Hyundai Elite i20,MAGNA EXECUTIVE CVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Hyundai,29246,1ST OWNER,PETROL,KA-53,706000,749000,Automatic,5,5849.2,5 lakh-10 lakh
111,Maruti Baleno,ZETA CVT PETROL 1.2Automatic,"GT World Mall, Bengaluru",HatchBack,2017,Maruti,52659,1ST OWNER,PETROL,KA-03,637000,696000,Automatic,6,8776.5,5 lakh-10 lakh
112,Maruti Swift,VXIManual,"GT World Mall, Bengaluru",HatchBack,2022,Maruti,8857,2ND OWNER,PETROL,KA-19,719000,777000,Manual,1,8857,5 lakh-10 lakh
113,Maruti Celerio,ZXIManual,"Bellahalli, Bengaluru",HatchBack,2020,Maruti,27528,1ST OWNER,PETROL,KA-11,523000,549000,Manual,3,9176,5 lakh-10 lakh
114,Renault Kwid,NEOTECH RXL 1.0 AMTAutomatic,"GT World Mall, Bengaluru",HatchBack,2021,Renault,14365,2ND OWNER,PETROL,KA-59,509000,524000,Automatic,2,7182.5,5 lakh-10 lakh
115,Honda Brio,V MTManual,"Horamavu Agara Road, Bengaluru",HatchBack,2013,Honda,66488,3RD OWNER,PETROL,KA-01,302000,313000,Manual,10,6648.8,2.5 lakh-5 lakh
116,Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVTAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2018,Hyundai,17026,2ND OWNER,PETROL,KA-05,616000,655000,Automatic,5,3405.2,5 lakh-10 lakh
117,Honda Brio,VX ATAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Honda,42509,2ND OWNER,PETROL,KA-05,524000,603000,Automatic,6,7084.833333,5 lakh-10 lakh
118,Hyundai GRAND I10 NIOS,SPORTZ AMT 1.2 KAPPA VTVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Hyundai,23415,1ST OWNER,PETROL,KA-51,701000,766000,Automatic,4,5853.75,5 lakh-10 lakh
119,Maruti Baleno,ALPHA CVT PETROL 1.2Automatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Maruti,81881,1ST OWNER,PETROL,KA-13,689000,753000,Automatic,4,20470.25,5 lakh-10 lakh
120,Tata ALTROZ,XZ DIESELManual,"Bellahalli, Bengaluru",HatchBack,2020,Tata,58107,1ST OWNER,DIESEL,KA-25,786000,858000,Manual,3,19369,5 lakh-10 lakh
121,Hyundai i20 Active,1.2 SXManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Hyundai,32345,2ND OWNER,PETROL,KA-53,659000,743000,Manual,6,5390.833333,5 lakh-10 lakh
122,Maruti Swift,LXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Maruti,57779,1ST OWNER,PETROL,KA-41,429000,465000,Manual,10,5777.9,2.5 lakh-5 lakh
123,Toyota Glanza,GManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2021,Toyota,13877,1ST OWNER,PETROL,KA-03,787000,825000,Manual,2,6938.5,5 lakh-10 lakh
124,Maruti IGNIS,ALPHA 1.2 AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Maruti,11483,2ND OWNER,PETROL,KA-05,657000,710000,Automatic,4,2870.75,5 lakh-10 lakh
125,Maruti IGNIS,ZETA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2020,Maruti,56218,1ST OWNER,PETROL,KA-51,586000,653000,Manual,3,18739.33333,5 lakh-10 lakh
126,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,65532,2ND OWNER,PETROL,KA-03,406000,465000,Manual,7,9361.714286,2.5 lakh-5 lakh
